voltage,current,frequency,status
227.49080237694724,7.704285838459497,50.46398788362281,NORMAL
231.97316968394074,2.9361118426546193,49.31198904067241,NORMAL
221.161672243364,7.197056874649611,50.202230023486415,NORMAL
234.1614515559209,2.1235069657748147,50.93981970432399,NORMAL
236.64885281600843,3.274034664069657,49.3636499344142,NORMAL
223.66809019706866,3.8254534577572263,50.049512863264475,NORMAL
228.63890037284233,3.7473748411882513,50.22370578944476,NORMAL
222.78987721304082,3.752867891211309,49.732723686587384,NORMAL
229.12139968434073,6.711055768358081,49.39934756431672,NORMAL
230.28468876827225,5.554487413172255,49.09290082544,NORMAL
232.15089703802877,3.0231447421237494,49.13010318597056,NORMAL
238.97771074506667,7.793792198447356,50.61679469623292,NORMAL
226.0922753834674,2.586032684038303,50.368466053024314,NORMAL
228.80304987479204,2.732229409068673,49.99035382022254,NORMAL
220.68777042230437,7.455922412472693,49.517559963200036,NORMAL
233.25044568707963,3.8702664565364655,50.04013604235562,NORMAL
230.9342055868656,3.109126733153162,50.939169255529116,NORMAL
235.5026564672223,7.6369936493851345,50.789654700855294,NORMAL
231.9579995762217,7.531245410138701,49.17698500410384,NORMAL
223.9196572483829,2.2713637334632284,49.65066066152653,NORMAL
227.77354579378965,3.6280941906433757,50.657475018303856,NORMAL
227.1350665338718,3.6856070581242846,50.085392166316495,NORMAL
222.81848449949524,6.813181884524238,49.14910128735954,NORMAL
239.73773873201034,6.633468615779945,49.39743136306834,NORMAL
220.11044234247206,6.892768570729005,50.41371468769523,NORMAL
234.58014336081976,6.627622080115675,49.14808930346818,NORMAL
227.16931457088546,2.6952143571507783,50.726206851751186,NORMAL
232.46596253655116,3.985388149115895,49.127116700572046,NORMAL
226.21964643431323,3.9510999321604823,50.459212356676126,NORMAL
232.75114942710425,7.323276455457959,49.9444298503239,NORMAL
222.39188491876604,6.2794687233379705,50.52157009723379,NORMAL
231.22554395138994,6.6258030797273655,49.98759119272878,NORMAL
230.45465658763987,4.565246110151298,49.05083825348819,NORMAL
222.1578285398661,2.1885751141204057,50.272820822527564,NORMAL
226.28711962152653,5.051424146988216,50.815132947852184,NORMAL
224.9858445829775,4.462297538213779,50.511102277086096,NORMAL
224.57596330983245,2.461879458972758,49.57950290582754,NORMAL
223.22442574508008,7.578185914055439,50.616240759128836,NORMAL
232.66807513020848,7.228763541126306,50.60734415379823,NORMAL
223.73140117772073,7.355353990939866,50.0786844838313,NORMAL
236.14880310328124,7.376547799540959,49.63600694994373,NORMAL
222.20103849055354,3.36761097525165,49.85421557725251,NORMAL
236.36029531844986,7.164383499538061,49.01390426106238,NORMAL
230.21494605155132,4.504466018892674,49.44421562094146,NORMAL
222.39730734667364,4.025691028421768,50.88581940782504,NORMAL
226.46405864041512,5.112743730460196,50.40603791779036,NORMAL
227.27259204758587,7.830692496325764,50.924894589884225,NORMAL
225.0356459165073,4.983491035354312,49.60175661963354,NORMAL
225.69680988754936,2.2213216841271968,50.219128667959794,NORMAL
230.05358046457724,2.3088725074999363,49.557292928473224,NORMAL
238.16531771933307,3.4373713440018347,49.28978974418244,NORMAL
229.78905520555125,7.913902724663604,49.484110543023,NORMAL
233.44271094811756,6.569717691972306,49.4752750879848,NORMAL
234.56432697223718,4.20669879631552,50.26461166118716,NORMAL
232.6705942152179,5.214648104448551,49.180579540108816,NORMAL
236.70604991178476,3.924680389830415,49.37303702079971,NORMAL
220.81550283109527,5.545357659129451,50.355128723684565,NORMAL
220.33175657855713,5.072558349795686,49.45299155039588,NORMAL
232.903455808189,3.0461985740299484,50.38187547620493,NORMAL
227.73470692601074,7.620379932420407,49.27504188829199,NORMAL
226.82132702100517,2.6808411274435344,50.84938723655713,NORMAL
237.54678706761962,3.5476497662909336,50.31996809206836,NORMAL
236.34444400402433,5.331204869596774,50.05930115671201,NORMAL
224.83704581800905,2.558616606835395,50.79443151590665,NORMAL
238.0083611432666,5.798608743639607,49.678059582097404,NORMAL
226.98419149225322,6.355734073221436,50.79422051990515,NORMAL
237.74172848530236,6.679253275145744,50.28406329230857,NORMAL
221.68279929990098,2.9697722845676826,50.79710837705416,NORMAL
232.1285811931918,2.055182309699778,49.202943085732066,NORMAL
233.27003538216113,2.030369503077312,49.321616102834994,NORMAL
230.97467578733173,6.15137118615616,50.3039225190052,NORMAL
224.4853861892112,6.273075328085215,49.4744981749936,NORMAL
226.50799396318536,6.478948430708145,50.29926579809443,NORMAL
236.98446820988357,5.94567735380206,50.13661720667094,NORMAL
221.87349535656185,4.206294818356601,49.53040473536345,NORMAL
224.87979286758167,7.838063328514673,49.78619544933352,NORMAL
237.84093110354226,5.786831755983577,50.5896226070833,NORMAL
230.05274186210383,5.461423307758155,49.98503538763773,NORMAL
